user_id,name,email,course_id,course_title,steps_completed,steps_total,course_completed,course_completed_on,course_started_on,course_total_time_on,course_last_step_id,course_last_step_type,course_last_step_title,last_login_date
31,31,31,1613,A Beautiful Universe: Cumrun Vafa,0,60,NO,,1/13/2019,,1799,Lesson,1.1 Course Overview,8/5/2019
31,31,31,15362,A Galactic Mystery: Justin Khoury,0,28,NO,,,,,,,8/5/2019
31,31,31,18818,"Accelerate, Collide, Detect: Barry Barish",0,31,NO,,,,,,,8/5/2019
31,31,31,2301,Beyond the Cloud of Everyday Experience: Brian Greene,53,67,NO,,10/24/2018,104d 8m 48s,2619,Lesson,3.22 String Theory,8/5/2019
31,31,31,15609,Einstein's Astrophysical Messengers: Gabriela González,0,31,NO,,,,,,,8/5/2019
31,31,31,11236,Life as the Next Frontier in Physics: Sara Walker,14,45,NO,,3/4/2019,41d 20h 33m 49s,12112,Lesson,1.14 What is Life?,8/5/2019
31,31,31,11233,Life as the Next Frontier in Physics: Sara Walker | Prerequisite Module,5,5,YES,2/28/2019,2/28/2019,13m 8s,13826,Lesson,1.4 Thoughts on Life,8/5/2019
31,31,31,3722,Resources,0,3,NO,,9/28/2018,,3902,Lesson,World Science Scholars Program Orientation,8/5/2019
31,31,31,19118,The Early Universe: Matias Zaldarriaga,0,27,NO,,,,,,,8/5/2019
31,31,31,18395,The Universe's Hierarchy: George F.R. Ellis,0,32,NO,,,,,,,8/5/2019
78,78,78,1613,A Beautiful Universe: Cumrun Vafa,34,60,NO,,10/16/2018,43d 9h 39m 19s,2330,Lesson,1.21 Puzzle: Points and Regions,8/15/2019
78,78,78,15362,A Galactic Mystery: Justin Khoury,1,28,NO,,,,15761,Lesson,1.4 The Case for Dark Matter,8/15/2019
78,78,78,18818,"Accelerate, Collide, Detect: Barry Barish",0,31,NO,,7/16/2019,,18847,Lesson,2.16 Current and Future Uses,8/15/2019
78,78,78,2301,Beyond the Cloud of Everyday Experience: Brian Greene,29,67,NO,,10/6/2018,18d 14h 39m 21s,5165,Lesson,1.4 Extremes of Speed Reaction,8/15/2019
78,78,78,18947,Beyond the Cloud of Everyday Experience: Brian Greene 2019,0,66,NO,,,,,,,8/15/2019
78,78,78,15609,Einstein's Astrophysical Messengers: Gabriela González,8,31,NO,,8/14/2019,30s,15626,Lesson,3.1 Going Deeper,8/15/2019
78,78,78,11236,Life as the Next Frontier in Physics: Sara Walker,0,45,NO,,,,,,,8/15/2019
78,78,78,11233,Life as the Next Frontier in Physics: Sara Walker | Prerequisite Module,0,5,NO,,,,,,,8/15/2019
78,78,78,3722,Resources,0,3,NO,,,,,,,8/15/2019
78,78,78,19780,Resources '19,0,4,NO,,,,,,,8/15/2019
78,78,78,19118,The Early Universe: Matias Zaldarriaga,0,27,NO,,,,,,,8/15/2019
78,78,78,18395,The Universe's Hierarchy: George F.R. Ellis,8,32,NO,,8/14/2019,31s,18800,Lesson,3.1 Going Deeper,8/15/2019
32,32,32,1613,A Beautiful Universe: Cumrun Vafa,57,60,NO,,12/7/2018,169d 2h 32m 52s,14083,Lesson,Live Session: Cumrun Vafa,8/15/2019
32,32,32,15362,A Galactic Mystery: Justin Khoury,24,28,NO,,5/26/2019,14d 10h 52m 53s,18173,Lesson,3.2 Live Session: Justin Khoury,8/15/2019
32,32,32,18818,"Accelerate, Collide, Detect: Barry Barish",16,31,NO,,8/12/2019,6h 54m 46s,18841,Lesson,2.10 Particle Physics and Dark Matter,8/15/2019
32,32,32,2301,Beyond the Cloud of Everyday Experience: Brian Greene,59,67,NO,,10/28/2018,15d 3h 34m 40s,2613,Lesson,3.14 Putting It All Together,8/15/2019
32,32,32,15609,Einstein's Astrophysical Messengers: Gabriela González,24,31,NO,,8/7/2019,5d 48m 10s,18211,Lesson,2.20 Multi-Messenger Astronomy,8/15/2019
32,32,32,11236,Life as the Next Frontier in Physics: Sara Walker,45,45,YES,5/26/2019,3/7/2019,79d 23h 33m 16s,14622,Lesson,2.3 Cellular Automata Challenge,8/15/2019
32,32,32,11233,Life as the Next Frontier in Physics: Sara Walker | Prerequisite Module,5,5,YES,2/20/2019,2/20/2019,1m 25s,13826,Lesson,1.4 Thoughts on Life,8/15/2019
32,32,32,3722,Resources,0,3,NO,,5/26/2019,,3902,Lesson,World Science Scholars Program Orientation,8/15/2019
32,32,32,19118,The Early Universe: Matias Zaldarriaga,1,27,NO,,8/15/2019,3h 17m 31s,19142,Lesson,1.2 Testing the Limits of Cosmology I,8/15/2019
32,32,32,18395,The Universe's Hierarchy: George F.R. Ellis,12,32,NO,,8/8/2019,3d 13h 24m 34s,18631,Lesson,2.8 Hierarchical Functions and Reactions,8/15/2019
33,33,33,1613,A Beautiful Universe: Cumrun Vafa,60,60,YES,2/15/2019,12/30/2018,46d 22h 44m 13s,14083,Lesson,Live Session: Cumrun Vafa,7/17/2019
33,33,33,15362,A Galactic Mystery: Justin Khoury,28,28,YES,4/20/2019,4/19/2019,1d 4h 46m 29s,17536,Lesson,1.16 Observational Signatures,7/17/2019
33,33,33,18818,"Accelerate, Collide, Detect: Barry Barish",3,31,NO,,7/18/2019,26s,18829,Lesson,1.3 Theoretical vs. Experimental Physics,7/17/2019
33,33,33,2301,Beyond the Cloud of Everyday Experience: Brian Greene,62,67,NO,,10/22/2018,31d 17h 17m 24s,2619,Lesson,3.22 String Theory,7/17/2019
33,33,33,15609,Einstein's Astrophysical Messengers: Gabriela González,0,31,NO,,,,,,,7/17/2019
33,33,33,11236,Life as the Next Frontier in Physics: Sara Walker,41,45,NO,,3/4/2019,12d 18h 11m 40s,15520,Lesson,Live Session 1: Sara Walker,7/17/2019
